GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,78,0,4,0,25,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,137,3,4,0,26,1,10,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,78,0,4,0,25,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,73,0,4,0,24,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,78,0,4,0,25,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,73,0,4,0,24,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,75,0,0,0,11,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,75,0,0,0,11,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.service,RatingService,0,75,0,0,0,11,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.service,BidListService,0,75,0,0,0,11,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,75,0,0,0,11,0,8,0,8
spring-boot-skeleton,com.nnk.springboot.security,SpringSecurityConfig,0,75,0,0,0,14,0,4,0,4
spring-boot-skeleton,com.nnk.springboot,TimeConfig,0,17,0,0,0,5,0,2,0,2
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
